# Our own wording for the parameter names SDD's catalogue uses.
#
# Three tab-separated columns: the English name, then Ukrainian, then
# Russian. The English is the key and is written exactly as the catalogue
# writes it, two spaces around a hyphen included; nothing here may be
# reflowed. The translation is this project's own work (`ADR-0025`), not
# SDD's — SDD publishes the catalogue in twelve languages and none of them
# is Ukrainian, and its Russian is not used.
#
# The English a user sees still comes from the loaded library, and every
# report keeps it whatever the interface language: a report is evidence, and
# evidence does not change language. A name with no row here shows its
# English.
Active roll control status  -  Reverse gear selected	Стан активної системи пригнічення крену — Вибрано задню передачу	Состояние активной системы подавления крена — Выбрана задняя передача
Active roll control status  -  Reverse motion	Стан активної системи пригнічення крену — Рух заднім ходом	Состояние активной системы подавления крена — Движение задним ходом
Active roll control status  -  Rough road detected	Стан активної системи пригнічення крену — Виявлено нерівну дорогу	Состояние активной системы подавления крена — Обнаружена неровная дорога
Active roll control status  -  Safety control valve	Стан активної системи пригнічення крену — Запобіжний клапан керування	Состояние активной системы подавления крена — Предохранительный клапан управления
Active roll control status  -  Side slope detected	Стан активної системи пригнічення крену — Виявлено бічний ухил	Состояние активной системы подавления крена — Обнаружен боковой уклон
Active roll control status  -  Vehicle moving	Стан активної системи пригнічення крену — Автомобіль рухається	Состояние активной системы подавления крена — Автомобиль движется
Active speed limiter  -  Illumination request	Активний обмежувач швидкості — Запит підсвічування	Активный ограничитель скорости — Запрос подсветки
Actual engine  -  Percent torque	Фактичний двигун — Крутний момент, %	Фактический двигатель — Крутящий момент, %
Actual exhaust (B) camshaft position  -  Bank 1	Фактичне положення випускного розподільного вала (B) — Банк 1	Фактическое положение выпускного распредвала (B) — Банк 1
Actual exhaust camshaft position  -  Bank 2	Фактичне положення випускного розподільного вала — Банк 2	Фактическое положение выпускного распредвала — Банк 2
Actual exhaust gas recirculation A  -  Duty cycle  -  Position	Фактична рециркуляція відпрацьованих газів A — Робочий цикл — Положення	Фактическая рециркуляция отработавших газов A — Рабочий цикл — Положение
Actual exhaust gas recirculation A  -  Duty cycle  -  Position supported	Фактична рециркуляція відпрацьованих газів A — Робочий цикл — Положення підтримується	Фактическая рециркуляция отработавших газов A — Рабочий цикл — Положение поддерживается
Actual inlet variable valve timing position, bank 1	Фактичне положення системи зміни фаз впускних клапанів, банк 1	Фактическое положение системы изменения фаз впускных клапанов, банк 1
Actual inlet variable valve timing position, bank 2	Фактичне положення системи зміни фаз впускних клапанів, банк 2	Фактическое положение системы изменения фаз впускных клапанов, банк 2
Actual intake (A) camshaft position  -  Bank 1	Фактичне положення впускного розподільного вала (A) — Банк 1	Фактическое положение впускного распредвала (A) — Банк 1
Actual intake camshaft position  -  Bank 2	Фактичне положення впускного розподільного вала — Банк 2	Фактическое положение впускного распредвала — Банк 2
Actual intake variable valve timing position	Фактичне положення системи зміни фаз впуску	Фактическое положение системы изменения фаз впуска
Actual local conditions	Фактичні локальні умови	Фактические локальные условия
Actual locking torque	Фактичний крутний момент блокування	Фактический крутящий момент блокировки
Actual output shaft speed	Фактична швидкість вихідного вала	Фактическая скорость выходного вала
Actual state of multiplate clutch	Фактичний стан багатодискового зчеплення	Фактическое состояние многодискового сцепления
Actual value/setpoint information  -  Current position	Інформація про фактичне/задане значення — Поточне положення	Информация о фактическом/заданном значении — Текущее положение
Actual value/setpoint information  -  Target position	Інформація про фактичне/задане значення — Цільове положення	Информация о фактическом/заданном значении — Целевое положение
Actual variable valve timing position  -  Exhaust valve  -  Bank 1	Фактичне положення системи зміни фаз газорозподілу — Випускний клапан — Банк 1	Фактическое положение системы изменения фаз газораспределения — Выпускной клапан — Банк 1
Actual variable valve timing position  -  Exhaust valve  -  Bank 2	Фактичне положення системи зміни фаз газорозподілу — Випускний клапан — Банк 2	Фактическое положение системы изменения фаз газораспределения — Выпускной клапан — Банк 2
Actual variable valve timing position  -  Intake valve  -  Bank 1	Фактичне положення системи зміни фаз газорозподілу — Впускний клапан — Банк 1	Фактическое положение системы изменения фаз газораспределения — Впускной клапан — Банк 1
Actual variable valve timing position  -  Intake valve  -  Bank 2	Фактичне положення системи зміни фаз газорозподілу — Впускний клапан — Банк 2	Фактическое положение системы изменения фаз газораспределения — Впускной клапан — Банк 2
Actuator motor flap detected range  -  Defrost flap	Виявлений діапазон заслінки електродвигуна приводу — Заслінка обдуву скла	Обнаруженный диапазон заслонки электродвигателя привода — Заслонка обдува стекла
Actuator motor flap detected range  -  Face flap	Виявлений діапазон заслінки електродвигуна приводу — Лицьова заслінка	Обнаруженный диапазон заслонки электродвигателя привода — Лицевая заслонка
Actuator motor flap detected range  -  Foot flap	Виявлений діапазон заслінки електродвигуна приводу — Ножна заслінка	Обнаруженный диапазон заслонки электродвигателя привода — Ножная заслонка
Actuator motor flap detected range  -  Glovebox temperature blend flap	Виявлений діапазон заслінки електродвигуна приводу — Температурна заслінка речового ящика	Обнаруженный диапазон заслонки электродвигателя привода — Температурная заслонка перчаточного ящика
Actuator motor flap detected range  -  Outside air/recirculation flap	Виявлений діапазон заслінки електродвигуна приводу — Заслінка зовнішнього повітря/рециркуляції	Обнаруженный диапазон заслонки электродвигателя привода — Заслонка наружного воздуха/рециркуляции
Actuator motor flap detected range  -  Ram flap	Виявлений діапазон заслінки електродвигуна приводу — Заслінка RAM	Обнаруженный диапазон заслонки электродвигателя привода — Заслонка RAM
Actuator motor flap detected range  -  Rear temperature blend flap	Виявлений діапазон заслінки електродвигуна приводу — Задня температурна заслінка	Обнаруженный диапазон заслонки электродвигателя привода — Задняя температурная заслонка
Actuator motor flap range defaults  -  Defrost flap	Значення за замовчуванням діапазону заслінки електродвигуна приводу — Заслінка обдуву скла	Значения по умолчанию диапазона заслонки электродвигателя привода — Заслонка обдува стекла
Actuator motor flap range defaults  -  Face flap	Значення за замовчуванням діапазону заслінки електродвигуна приводу — Лицьова заслінка	Значения по умолчанию диапазона заслонки электродвигателя привода — Лицевая заслонка
Actuator motor flap range defaults  -  Foot flap	Значення за замовчуванням діапазону заслінки електродвигуна приводу — Ножна заслінка	Значения по умолчанию диапазона заслонки электродвигателя привода — Ножная заслонка
Actuator motor flap range defaults  -  Glovebox temperature blend flap	Значення за замовчуванням діапазону заслінки електродвигуна приводу — Температурна заслінка речового ящика	Значения по умолчанию диапазона заслонки электродвигателя привода — Температурная заслонка перчаточного ящика
Actuator motor flap range defaults  -  Outside air/recirculation flap	Значення за замовчуванням діапазону заслінки електродвигуна приводу — Заслінка зовнішнього повітря/рециркуляції	Значения по умолчанию диапазона заслонки электродвигателя привода — Заслонка наружного воздуха/рециркуляции
Actuator motor flap range defaults  -  Ram flap	Значення за замовчуванням діапазону заслінки електродвигуна приводу — Заслінка RAM	Значения по умолчанию диапазона заслонки электродвигателя привода — Заслонка RAM
Actuator motor flap range defaults  -  Rear temperature blend flap	Значення за замовчуванням діапазону заслінки електродвигуна приводу — Задня температурна заслінка	Значения по умолчанию диапазона заслонки электродвигателя привода — Задняя температурная заслонка
Actuator motor flap range status  -  Defrost flap	Стан діапазону заслінки електродвигуна приводу — Заслінка обдуву скла	Состояние диапазона заслонки электродвигателя привода — Заслонка обдува стекла
Actuator motor flap range status  -  Face flap	Стан діапазону заслінки електродвигуна приводу — Лицьова заслінка	Состояние диапазона заслонки электродвигателя привода — Лицевая заслонка
Actuator motor flap range status  -  Foot flap	Стан діапазону заслінки електродвигуна приводу — Ножна заслінка	Состояние диапазона заслонки электродвигателя привода — Ножная заслонка
Actuator motor flap range status  -  Glovebox temperature blend flap	Стан діапазону заслінки електродвигуна приводу — Температурна заслінка речового ящика	Состояние диапазона заслонки электродвигателя привода — Температурная заслонка перчаточного ящика
Actuator motor flap range status  -  Outside air/recirculation flap	Стан діапазону заслінки електродвигуна приводу — Заслінка зовнішнього повітря/рециркуляції	Состояние диапазона заслонки электродвигателя привода — Заслонка наружного воздуха/рециркуляции
Actuator motor flap range status  -  Ram air flap	Стан діапазону заслінки електродвигуна приводу — Заслінка набігаючого повітря	Состояние диапазона заслонки электродвигателя привода — Заслонка набегающего воздуха
Actuator motor flap range status  -  Rear temperature blend flap	Стан діапазону заслінки електродвигуна приводу — Задня температурна заслінка	Состояние диапазона заслонки электродвигателя привода — Задняя температурная заслонка
Actuator supply voltage	Напруга живлення приводу	Напряжение питания привода
Adaptive fuelling for bank 1, for inject pulse calculation	Адаптивна паливоподача для банку 1, для розрахунку імпульсу упорскування	Адаптивная топливоподача для банка 1, для расчета импульса впрыска
Adaptive fuelling for bank 2, for inject pulse calculation	Адаптивна паливоподача для банку 2, для розрахунку імпульсу упорскування	Адаптивное топливоподача для банка 2, для расчета импульса впрыска
Additive correction of the fuelling adaptation	Адитивна корекція адаптації паливоподачі	Аддитивная коррекция адаптации топливоподачи
Additive correction of the fuelling adaptation  -  Bank 2	Адитивна корекція адаптації паливоподачі — Банк 2	Аддитивная коррекция адаптации топливоподачи — Банк 2
After start time counter	Лічильник часу після запуску	Счетчик времени после запуска
Air charge temperature	Температура заряду повітря	Температура заряда воздуха
Air conditioning compressor control	Керування компресором кондиціонера	Управление компрессором кондиционера
Air conditioning fan request	Запит вентилятора кондиціонера	Запрос вентилятора кондиционера
Air conditioning high pressure sensor voltage	Напруга датчика високого тиску системи кондиціонування	Напряжение датчика высокого давления системы кондиционирования
Air conditioning load compensation	Компенсація навантаження кондиціонера	Компенсация нагрузки кондиционера
Air conditioning pressure	Тиск системи кондиціонування	Давление системы кондиционирования
Air conditioning pressure sensor voltage	Напруга датчика тиску системи кондиціонування	Напряжение датчика давления системы кондиционирования
Air conditioning refrigerant pressure sensor  -  A  -  Raw	Датчик тиску холодоагенту кондиціонера — A — Необроблене значення	Датчик давления хладагента кондиционера — A — Необработанное значение
Air conditioning refrigerant pressure sensor A voltage	Напруга датчика A тиску холодоагенту кондиціонера	Напряжение датчика A давления хладагента кондиционера
Air conditioning relay	Реле кондиціонера	Реле кондиционера
Air conditioning relay request	Запит реле кондиціонера	Запрос реле кондиционера
Air conditioning status  -  Air conditioning clutch engaged	Стан кондиціонування повітря — Муфта кондиціонера увімкнена	Состояние кондиционирования воздуха — Муфта кондиционера включена
Air conditioning status  -  Air conditioning clutch output fault detected	Стан кондиціонування повітря — Виявлено несправність виходу муфти кондиціонера	Состояние кондиционирования воздуха — Обнаружена неисправность выхода муфты кондиционера
Air conditioning status  -  Air conditioning compressor run-in	Стан кондиціонування повітря — Припрацювання компресора кондиціонера	Состояние кондиционирования воздуха — Приработка компрессора кондиционера
Air conditioning system pressure	Тиск системи кондиціонування	Давление системы кондиционирования
Air distribution damper motor status  -  Actual position	Стан електродвигуна заслінки розподілу повітря — Фактичне положення	Состояние электродвигателя заслонки распределения воздуха — Фактическое положение
Air distribution damper motor status  -  Actual position state	Стан електродвигуна заслінки розподілу повітря — Стан фактичного положення	Состояние электродвигателя заслонки распределения воздуха — Состояние фактического положения
Air distribution damper motor status  -  Calibration lost during movement when power failed	Стан електродвигуна заслінки розподілу повітря — Калібрування втрачено під час руху при відмові живлення	Состояние электродвигателя заслонки распределения воздуха — Калибровка потеряна во время движения при отказе питания
Air distribution damper motor status  -  Coil circuit failure or coil driver failure	Стан електродвигуна заслінки розподілу повітря — Несправність кола котушки або драйвера котушки	Состояние электродвигателя заслонки распределения воздуха — Неисправность цепи катушки или драйвера катушки
Air distribution damper motor status  -  Communication failure	Стан електродвигуна заслінки розподілу повітря — Збій зв’язку	Состояние электродвигателя заслонки распределения воздуха — Сбой связи
Air distribution damper motor status  -  Default position restore	Стан електродвигуна заслінки розподілу повітря — Відновлення положення за замовчуванням	Состояние электродвигателя заслонки распределения воздуха — Восстановление положения по умолчанию
Air distribution damper motor status  -  Extreme position maintainable	Стан електродвигуна заслінки розподілу повітря — Утримуване крайнє положення	Состояние электродвигателя заслонки распределения воздуха — Удерживаемое крайнее положение
Air distribution damper motor status  -  Failure register	Стан електродвигуна заслінки розподілу повітря — Регістр несправності	Состояние электродвигателя заслонки распределения воздуха — Регистр неисправности
Air distribution damper motor status  -  Feedback failure	Стан електродвигуна заслінки розподілу повітря — Несправність зворотного зв’язку	Состояние электродвигателя заслонки распределения воздуха — Неисправность обратной связи
Air distribution damper motor status  -  Hall sensor supply current limitation	Стан електродвигуна заслінки розподілу повітря — Обмеження струму живлення датчика Холла	Состояние электродвигателя заслонки распределения воздуха — Ограничение тока питания датчика Холла
Air distribution damper motor status  -  Last maximum torque	Стан електродвигуна заслінки розподілу повітря — Останній максимальний крутний момент	Состояние электродвигателя заслонки распределения воздуха — Последний максимальный крутящий момент
Air distribution damper motor status  -  Last minimum torque	Стан електродвигуна заслінки розподілу повітря — Останній мінімальний крутний момент	Состояние электродвигателя заслонки распределения воздуха — Последний минимальный крутящий момент
Air distribution damper motor status  -  Last or actual movement direction	Стан електродвигуна заслінки розподілу повітря — Останній або фактичний напрямок руху	Состояние электродвигателя заслонки распределения воздуха — Последнее или фактическое направление движения
Air distribution damper motor status  -  Over voltage or over temperature	Стан електродвигуна заслінки розподілу повітря — Перенапруга або перегрів	Состояние электродвигателя заслонки распределения воздуха — Перенапряжение или перегрев
Air distribution damper motor status  -  Run status	Стан електродвигуна заслінки розподілу повітря — Стан роботи	Состояние электродвигателя заслонки распределения воздуха — Состояние работы
Air distribution damper motor status  -  Stall status	Стан електродвигуна заслінки розподілу повітря — Стан блокування	Состояние электродвигателя заслонки распределения воздуха — Состояние блокировки
Air flow meter sensor voltage	Напруга датчика витратоміра повітря	Напряжение датчика расходомера воздуха
Air flow rate from mass air flow sensor - bank 1	Витрата повітря за датчиком масової витрати повітря — банк 1	Расход воздуха по датчику массового расхода воздуха — банк 1
Air flow rate from mass air flow sensor - bank 2	Витрата повітря за датчиком масової витрати повітря — банк 2	Расход воздуха по датчику массового расхода воздуха — банк 2
Air intake actuator feedback	Зворотний зв’язок приводу впуску повітря	Обратная связь привода впуска воздуха
Air intake actuator target value	Цільове значення приводу впуску повітря	Целевое значение привода впуска воздуха
Air quality sensor  -  Communication	Датчик якості повітря — Зв’язок	Датчик качества воздуха — Связь
Air quality sensor  -  Status	Датчик якості повітря — Стан	Датчик качества воздуха — Состояние
Air suspension digital outputs status  -  12 volts output	Стан цифрових виходів пневмопідвіски — Вихід 12 В	Состояние цифровых выходов пневмоподвески — Выход 12 В
Air suspension digital outputs status - compressor relay	Стан цифрових виходів пневмопідвіски — реле компресора	Состояние цифровых выходов пневмоподвески — реле компрессора
Air suspension digital outputs status - isolation switch state	Стан цифрових виходів пневмопідвіски — стан ізолювального перемикача	Состояние цифровых выходов пневмоподвески — состояние изолирующего переключателя
Air suspension digital outputs status - steering isolation switch state	Стан цифрових виходів пневмопідвіски — стан ізолювального перемикача рульового керування	Состояние цифровых выходов пневмоподвески — состояние изолирующего переключателя рулевого управления
Air system control module state variable	Змінна стану модуля керування пневмосистемою	Переменная состояния модуля управления пневмосистемой
Alcohol fuel percentage	Відсоток спирту в паливі	Процент спирта в топливе
All doors lock and ajar output signal status  -  Central locking relay	Стан вихідних сигналів блокування та відкритих дверей — Реле центрального блокування	Состояние выходных сигналов блокировки и открытых дверей — Реле центральной блокировки
All doors lock and ajar output signal status  -  Lock common output	Стан вихідних сигналів блокування та відкритих дверей — Загальний вихід блокування	Состояние выходных сигналов блокировки и открытых дверей — Общий выход блокировки
All doors lock and ajar output signal status  -  Rear door central double lock relay	Стан вихідних сигналів блокування та відкритих дверей — Реле подвійного блокування задніх дверей	Состояние выходных сигналов блокировки и открытых дверей — Реле двойной блокировки задней двери
All doors lock and ajar output signal status  -  Rear door central locking relay	Стан вихідних сигналів блокування та відкритих дверей — Реле центрального блокування задніх дверей	Состояние выходных сигналов блокировки и открытых дверей — Реле центральной блокировки задней двери
All doors lock and ajar output signal status  -  Rear door central unlocking relay	Стан вихідних сигналів блокування та відкритих дверей — Реле центрального розблокування задніх дверей	Состояние выходных сигналов блокировки и открытых дверей — Реле центральной разблокировки задней двери
All doors lock and ajar output signal status - superlock relay	Стан вихідних сигналів блокування та відкритих дверей — Реле суперблокування	Состояние выходных сигналов блокировки и открытых дверей — Реле суперблокировки
All wheel drive  -  Clutch operation	Повний привід — Робота зчеплення	Полный привод — Работа сцепления
All wheel drive propulsion shaft torque	Крутний момент карданного вала повного приводу	Крутящий момент карданного вала полного привода
All wheel drive propulsion shaft torque request  -  Quality factor	Запит крутного моменту карданного вала повного приводу — Коефіцієнт якості	Запрос крутящего момента карданного вала полного привода — Коэффициент качества
Alternator load  -  Battery 1	Навантаження генератора — Акумуляторна батарея 1	Нагрузка генератора — Аккумуляторная батарея 1
Ambient air temperature	Температура навколишнього повітря	Температура окружающего воздуха
Ambient air temperature sensor voltage	Напруга датчика температури навколишнього повітря	Напряжение датчика температуры окружающего воздуха
Ambient light sensor  -  Left sensor	Датчик зовнішнього освітлення — Лівий датчик	Датчик внешнего освещения — Левый датчик
Ambient light sensor  -  Right sensor	Датчик зовнішнього освітлення — Правий датчик	Датчик внешнего освещения — Правый датчик
Ambient temperature	Температура навколишнього повітря	Температура окружающего воздуха
Ambient temperature  -  Quality factor	Температура навколишнього повітря — Коефіцієнт якості	Температура окружающего воздуха — Коэффициент качества
Ambient temperature  -  Raw	Температура навколишнього повітря — Необроблене значення	Температура окружающего воздуха — Необработанное значение
Ambient temperature sensor voltage	Напруга датчика температури навколишнього середовища	Напряжение датчика температуры окружающей среды
Amplifier  -  Number of thermo-protection	Підсилювач — Кількість спрацьовувань термозахисту	Усилитель — Количество срабатываний термозащиты
Amplitude for tappet	Амплітуда для штовхача	Амплитуда для толкателя
Analog input signal	Аналоговий вхідний сигнал	Аналоговый входной сигнал
Analog to digital converted value for battery level detection circuit	АЦП-значення кола визначення рівня батареї	АЦП-значение цепи определения уровня батареи
Analog to digital converted value for cellular telephone - positive input voltage level detection circuit	АЦП-значення для стільникового телефону — коло визначення позитивного рівня вхідної напруги	АЦП-значение для сотового телефона — цепь определения положительного уровня входного напряжения
Analog to digital converted value for microphone - positive input voltage level detection circuit	АЦП-значення для мікрофона — коло визначення позитивного рівня вхідної напруги	АЦП-значение для микрофона — цепь определения положительного уровня входного напряжения
Analog to digital converted value for the left auxiliary inputs - positive input voltage level detection circuit	АЦП-значення лівих додаткових входів — коло визначення позитивного рівня вхідної напруги	АЦП-значение левых дополнительных входов — цепь определения положительного уровня входного напряжения
Analog to digital converted value for the right auxiliary inputs - positive input voltage level detection circuit	АЦП-значення правих додаткових входів — коло визначення позитивного рівня вхідної напруги	АЦП-значение правых дополнительных входов — цепь определения положительного уровня входного напряжения
Analogue digital value at park neutral line	Аналого-цифрове значення лінії паркування/нейтраль	Аналого-цифровое значение линии парковка/нейтраль
Analogue digital value motor current	Аналого-цифрове значення струму електродвигуна	Аналого-цифровое значение тока электродвигателя
Analogue inputs  -  Primary battery 1 voltage	Аналогові входи — Напруга основної батареї 1	Аналоговые входы — Напряжение основной батареи 1
Analogue inputs  -  Primary battery 2 voltage	Аналогові входи — Напруга основної батареї 2	Аналоговые входы — Напряжение основной батареи 2
Antenna current 1	Струм антени 1	Ток антенны 1
Antenna current 2	Струм антени 2	Ток антенны 2
Antenna current 3	Струм антени 3	Ток антенны 3
Antenna current 4	Струм антени 4	Ток антенны 4
Apple® connection data  -  Day	Дані підключення Apple® — День	Данные подключения Apple® — День
Apple® connection data  -  Device communication error	Дані підключення Apple® — Помилка зв’язку пристрою	Данные подключения Apple® — Ошибка связи устройства
Apple® connection data  -  Device communication state	Дані підключення Apple® — Стан зв’язку пристрою	Данные подключения Apple® — Состояние связи устройства
Apple® connection data  -  Hour	Дані підключення Apple® — Година	Данные подключения Apple® — Час
